ID,나이,소득,지출,평균구매횟수
1,56.0,,6696.0,8.261651340663274
2,69.0,,6069.0,9.663843866993872
3,46.0,6070.0,4800.0,9.49968753019546
4,,6799.0,6769.0,2.2697366389994222
5,60.0,3470.0,,4.657530774461698
6,25.0,,4638.0,3.915910549961197
7,38.0,8933.0,,1.782325134553144
8,56.0,9004.0,4542.0,6.699166974198645
9,36.0,,2406.0,7.623141518764021
10,40.0,5147.0,6754.0,8.633152859201951
11,28.0,6249.0,1260.0,2.1049920069643764
12,28.0,3679.0,6738.0,8.887996682877645
13,41.0,5506.0,,6.786330072528279
14,53.0,7092.0,3945.0,7.335515216246585
15,57.0,9253.0,6531.0,
16,41.0,4744.0,1399.0,6.62285143938926
17,,5356.0,4955.0,4.022792714348515
18,,6045.0,3447.0,8.425965982803937
19,19.0,3243.0,2219.0,4.267532909755815
20,41.0,7188.0,780.0,1.308052997384762
21,61.0,5118.0,3766.0,8.475890559087247
22,47.0,7104.0,,4.1067293039314805
23,55.0,4141.0,3766.0,7.964510708812062
24,19.0,7869.0,1166.0,4.2648210519935095
25,38.0,7053.0,4688.0,8.749612179772495
26,50.0,5059.0,1171.0,
27,29.0,,2469.0,9.770925386789829
28,,7323.0,4656.0,8.017828973092277
29,,4959.0,3622.0,2.0281413332835716
30,42.0,4265.0,5624.0,6.091989579699044
31,66.0,8617.0,,9.868305810175611
32,44.0,4479.0,5199.0,5.239589074244329
33,59.0,8484.0,5277.0,2.6389642493942493
34,,6646.0,4400.0,5.363005304353115
35,33.0,3635.0,6024.0,5.612118902937294
36,32.0,7408.0,6876.0,7.67518249805799
37,64.0,9421.0,1023.0,7.289612678448139
38,68.0,3757.0,2893.0,4.622950392372825
39,61.0,6452.0,3617.0,
40,,,3093.0,
41,20.0,7881.0,2468.0,4.795335410979536
42,54.0,8665.0,5697.0,2.1904859001279737
43,68.0,7877.0,2253.0,9.105150711127472
44,24.0,9267.0,6432.0,7.220996718486889
45,38.0,4849.0,2796.0,7.148654708009333
46,26.0,5251.0,6690.0,8.403254883205065
